counter	insert_time	motelabMoteID	motelabSeqNo
7	2012-11-29 13:02:17	1	1
8	2012-11-29 13:02:18	1	2
9	2012-11-29 13:02:19	1	3
10	2012-11-29 13:02:20	1	4
11	2012-11-29 13:02:21	1	5
12	2012-11-29 13:02:22	1	6
13	2012-11-29 13:02:23	1	7
14	2012-11-29 13:02:24	1	8
15	2012-11-29 13:02:25	1	9
16	2012-11-29 13:02:25	1	10
17	2012-11-29 13:02:26	1	11
18	2012-11-29 13:02:27	1	12
19	2012-11-29 13:02:28	1	13
20	2012-11-29 13:02:29	1	14
21	2012-11-29 13:02:30	1	15
22	2012-11-29 13:02:31	1	16
23	2012-11-29 13:02:32	1	17
24	2012-11-29 13:02:33	1	18
25	2012-11-29 13:02:34	1	19
26	2012-11-29 13:02:35	1	20
27	2012-11-29 13:02:36	1	21
28	2012-11-29 13:02:37	1	22
29	2012-11-29 13:02:38	1	23
30	2012-11-29 13:02:39	1	24
31	2012-11-29 13:02:40	1	25
32	2012-11-29 13:02:41	1	26
33	2012-11-29 13:02:42	1	27
34	2012-11-29 13:02:43	1	28
35	2012-11-29 13:02:44	1	29
36	2012-11-29 13:02:45	1	30
37	2012-11-29 13:02:46	1	31
38	2012-11-29 13:02:47	1	32
39	2012-11-29 13:02:48	1	33
40	2012-11-29 13:02:49	1	34
41	2012-11-29 13:02:50	1	35
42	2012-11-29 13:02:51	1	36
43	2012-11-29 13:02:52	1	37
44	2012-11-29 13:02:53	1	38
45	2012-11-29 13:02:54	1	39
46	2012-11-29 13:02:55	1	40
47	2012-11-29 13:02:56	1	41
48	2012-11-29 13:02:57	1	42
49	2012-11-29 13:02:58	1	43
50	2012-11-29 13:02:59	1	44
51	2012-11-29 13:03:00	1	45
52	2012-11-29 13:03:01	1	46
53	2012-11-29 13:03:02	1	47
54	2012-11-29 13:03:03	1	48
55	2012-11-29 13:03:04	1	49
56	2012-11-29 13:03:05	1	50
57	2012-11-29 13:03:06	1	51
58	2012-11-29 13:03:07	1	52
59	2012-11-29 13:03:07	1	53
60	2012-11-29 13:03:08	1	54
61	2012-11-29 13:03:09	1	55
62	2012-11-29 13:03:10	1	56
63	2012-11-29 13:03:11	1	57
64	2012-11-29 13:03:12	1	58
65	2012-11-29 13:03:13	1	59
66	2012-11-29 13:03:14	1	60
67	2012-11-29 13:03:15	1	61
68	2012-11-29 13:03:16	1	62
69	2012-11-29 13:03:17	1	63
70	2012-11-29 13:03:18	1	64
71	2012-11-29 13:03:19	1	65
72	2012-11-29 13:03:20	1	66
73	2012-11-29 13:03:21	1	67
74	2012-11-29 13:03:22	1	68
75	2012-11-29 13:03:23	1	69
76	2012-11-29 13:03:24	1	70
77	2012-11-29 13:03:25	1	71
78	2012-11-29 13:03:26	1	72
79	2012-11-29 13:03:27	1	73
80	2012-11-29 13:03:28	1	74
81	2012-11-29 13:03:29	1	75
82	2012-11-29 13:03:30	1	76
83	2012-11-29 13:03:31	1	77
84	2012-11-29 13:03:32	1	78
85	2012-11-29 13:03:33	1	79
86	2012-11-29 13:03:34	1	80
87	2012-11-29 13:03:35	1	81
88	2012-11-29 13:03:36	1	82
89	2012-11-29 13:03:37	1	83
90	2012-11-29 13:03:38	1	84
91	2012-11-29 13:03:39	1	85
92	2012-11-29 13:03:40	1	86
93	2012-11-29 13:03:41	1	87
94	2012-11-29 13:03:42	1	88
95	2012-11-29 13:03:43	1	89
96	2012-11-29 13:03:44	1	90
97	2012-11-29 13:03:45	1	91
98	2012-11-29 13:03:46	1	92
99	2012-11-29 13:03:47	1	93
100	2012-11-29 13:03:48	1	94
101	2012-11-29 13:03:49	1	95
102	2012-11-29 13:03:49	1	96
103	2012-11-29 13:03:50	1	97
104	2012-11-29 13:03:51	1	98
105	2012-11-29 13:03:52	1	99
106	2012-11-29 13:03:53	1	100
107	2012-11-29 13:03:54	1	101
108	2012-11-29 13:03:55	1	102
109	2012-11-29 13:03:56	1	103
110	2012-11-29 13:03:57	1	104
111	2012-11-29 13:03:58	1	105
112	2012-11-29 13:03:59	1	106
113	2012-11-29 13:04:00	1	107
114	2012-11-29 13:04:01	1	108
115	2012-11-29 13:04:02	1	109
116	2012-11-29 13:04:03	1	110
117	2012-11-29 13:04:04	1	111
118	2012-11-29 13:04:05	1	112
119	2012-11-29 13:04:06	1	113
120	2012-11-29 13:04:07	1	114
121	2012-11-29 13:04:08	1	115
122	2012-11-29 13:04:09	1	116
123	2012-11-29 13:04:10	1	117
124	2012-11-29 13:04:11	1	118
125	2012-11-29 13:04:12	1	119
126	2012-11-29 13:04:13	1	120
127	2012-11-29 13:04:14	1	121
128	2012-11-29 13:04:15	1	122
129	2012-11-29 13:04:16	1	123
130	2012-11-29 13:04:17	1	124
131	2012-11-29 13:04:18	1	125
132	2012-11-29 13:04:19	1	126
133	2012-11-29 13:04:20	1	127
134	2012-11-29 13:04:21	1	128
135	2012-11-29 13:04:22	1	129
136	2012-11-29 13:04:23	1	130
137	2012-11-29 13:04:24	1	131
138	2012-11-29 13:04:25	1	132
139	2012-11-29 13:04:26	1	133
140	2012-11-29 13:04:27	1	134
141	2012-11-29 13:04:28	1	135
142	2012-11-29 13:04:29	1	136
143	2012-11-29 13:04:30	1	137
144	2012-11-29 13:04:30	1	138
145	2012-11-29 13:04:31	1	139
146	2012-11-29 13:04:32	1	140
147	2012-11-29 13:04:33	1	141
148	2012-11-29 13:04:34	1	142
149	2012-11-29 13:04:35	1	143
150	2012-11-29 13:04:36	1	144
151	2012-11-29 13:04:37	1	145
152	2012-11-29 13:04:38	1	146
153	2012-11-29 13:04:39	1	147
154	2012-11-29 13:04:40	1	148
155	2012-11-29 13:04:41	1	149
156	2012-11-29 13:04:42	1	150
157	2012-11-29 13:04:43	1	151
158	2012-11-29 13:04:44	1	152
159	2012-11-29 13:04:45	1	153
160	2012-11-29 13:04:46	1	154
161	2012-11-29 13:04:47	1	155
162	2012-11-29 13:04:48	1	156
163	2012-11-29 13:04:49	1	157
164	2012-11-29 13:04:50	1	158
165	2012-11-29 13:04:51	1	159
166	2012-11-29 13:04:52	1	160
167	2012-11-29 13:04:53	1	161
168	2012-11-29 13:04:54	1	162
169	2012-11-29 13:04:55	1	163
170	2012-11-29 13:04:56	1	164
171	2012-11-29 13:04:57	1	165
172	2012-11-29 13:04:58	1	166
173	2012-11-29 13:04:59	1	167
174	2012-11-29 13:05:00	1	168
175	2012-11-29 13:05:01	1	169
176	2012-11-29 13:05:02	1	170
177	2012-11-29 13:05:03	1	171
178	2012-11-29 13:05:04	1	172
179	2012-11-29 13:05:05	1	173
180	2012-11-29 13:05:06	1	174
